Days,Temperature,Humidity,Ratio,Compost_Volume,Residual_Rate,CO2_Release,Tensile_Strength
15,45.0,52.2,38.3,0.57,93.23,7.31,32.93
45,47.9,61.8,41.8,1.12,89.26,9.97,27.96
65,55.7,89.1,18.4,2.06,75.17,20.99,15.34
89,26.7,48.1,69.0,1.06,91.19,8.93,30.22
71,64.8,68.2,24.6,0.94,68.24,26.55,11.43
9,43.8,52.8,55.1,0.93,93.33,7.48,34.45
88,36.2,72.0,77.3,1.53,86.27,12.77,25.61
129,60.3,87.5,17.1,2.45,55.0,41.42,4.77
136,54.9,88.4,52.8,1.42,55.0,36.82,7.15
63,63.1,53.0,28.7,1.61,79.63,17.1,16.74
139,38.2,89.9,37.4,2.22,77.58,18.97,15.68
81,47.1,72.6,47.9,1.57,82.17,15.56,20.76
136,47.9,59.3,38.4,0.87,77.73,18.47,15.84
163,64.2,78.9,61.9,1.1,55.0,43.5,2.4
163,28.0,66.5,48.4,1.12,86.38,12.18,23.28
33,37.2,60.8,56.7,1.29,92.58,7.6,32.02
123,32.6,78.8,68.9,1.35,85.94,12.2,21.72
5,35.7,53.7,54.6,2.1,94.73,6.07,33.81
41,44.4,58.2,56.9,1.2,90.34,9.44,29.49
28,39.9,63.9,55.2,1.44,92.52,7.65,29.82
135,40.8,54.0,40.3,1.75,84.41,13.44,21.43
72,58.8,62.3,37.0,1.26,76.91,19.75,16.38
12,62.2,71.4,82.0,2.17,90.91,9.01,29.11
162,27.8,80.8,58.6,1.67,85.79,12.12,21.79
33,33.4,82.2,29.5,1.09,91.71,8.49,30.36
48,51.8,85.3,49.9,1.93,82.14,16.22,22.26
151,39.3,80.9,36.4,1.56,76.26,20.28,16.95
62,35.2,77.5,84.7,1.57,91.2,7.92,26.95
37,36.8,53.1,10.6,1.46,92.39,7.87,31.48
99,37.9,62.0,28.0,1.49,88.76,9.65,23.65
172,58.9,66.3,39.2,2.03,55.0,43.16,5.57
104,30.5,44.6,49.0,0.71,89.08,10.99,29.48
35,53.4,69.1,78.1,1.17,88.97,9.92,25.5
193,47.1,64.0,17.0,0.65,68.19,26.03,10.95
101,36.9,84.1,74.5,2.01,85.24,12.67,21.63
175,41.8,93.8,14.5,1.04,65.88,28.54,9.9
131,35.2,70.6,77.4,2.29,85.94,11.82,22.41
1,49.5,57.7,14.1,1.55,94.52,6.38,34.4
5,28.3,42.4,11.5,2.1,94.6,6.28,34.35
142,25.2,90.9,65.8,2.46,86.13,12.34,23.24
103,50.1,90.6,89.8,2.18,69.9,25.42,13.12
27,32.8,53.9,81.7,2.23,94.18,6.19,32.44
137,27.8,78.2,56.1,1.32,87.46,10.98,22.84
15,40.9,44.1,83.4,1.6,93.72,6.95,33.0
90,27.0,49.1,10.4,1.01,92.26,7.61,30.26
42,60.5,51.9,88.0,0.89,85.6,13.01,24.55
124,26.1,56.2,49.3,1.51,90.13,9.37,27.2
179,48.2,94.8,67.8,1.69,55.0,39.08,5.86
63,42.5,78.3,75.7,1.18,86.39,12.39,23.43
96,51.9,61.1,67.5,1.64,77.85,19.18,16.54
52,38.1,80.5,52.8,2.27,89.58,9.79,27.82
96,31.2,90.3,48.1,1.61,86.98,11.71,24.96
132,64.3,92.7,77.1,1.94,55.0,43.5,2.4
151,58.6,43.2,26.4,2.11,68.59,26.29,11.56
143,59.4,61.7,87.4,2.48,56.86,35.7,8.43
171,35.0,45.9,66.9,1.71,86.53,11.89,23.48
29,26.6,58.5,26.0,2.11,93.77,6.77,33.6
36,37.1,49.3,68.9,2.43,93.71,6.41,31.36
13,46.5,75.6,52.4,2.39,93.57,6.69,32.02
160,38.1,61.4,66.6,0.78,82.55,14.77,18.83
71,58.1,52.6,71.4,1.31,80.7,16.74,19.34
187,35.9,54.6,17.0,1.15,81.9,15.93,20.33
86,63.6,59.8,50.5,0.67,67.89,26.95,11.15
28,43.3,54.3,84.6,1.77,92.2,8.02,30.66
66,58.7,64.9,35.7,1.97,78.43,18.32,17.86
170,32.8,41.8,57.5,2.2,88.75,10.03,26.24
45,41.5,55.4,39.5,0.75,90.51,9.44,29.22
62,53.0,62.6,46.3,2.25,83.67,14.41,21.48
185,30.5,73.2,53.9,1.79,84.18,13.16,20.27
134,30.3,54.9,53.9,1.91,88.91,10.12,26.03
28,63.8,47.3,26.1,2.32,89.68,9.33,25.43
28,53.6,44.2,64.8,1.75,91.89,7.97,30.01
108,26.6,91.7,17.0,1.17,88.44,10.32,23.99
44,41.0,62.9,21.1,2.15,90.98,8.73,28.53
84,42.3,72.0,10.2,1.23,85.52,12.64,22.61
30,54.8,90.6,19.3,0.57,87.26,11.31,24.36
190,35.0,44.6,47.9,2.16,84.6,13.85,22.24
75,32.4,88.2,58.5,1.19,88.22,10.94,25.75
128,28.2,70.3,73.5,2.05,88.59,10.2,24.87
92,42.1,49.1,18.5,1.23,88.43,10.37,25.08
190,52.5,62.6,78.1,2.22,58.38,34.57,8.04
129,27.3,82.8,69.7,0.94,86.57,12.13,24.42
121,61.6,66.4,42.7,2.45,57.3,34.93,7.09
27,42.7,94.2,84.6,2.06,91.13,8.55,29.08
190,34.6,60.7,89.3,0.73,80.38,17.39,19.84
121,28.8,81.2,26.4,1.63,87.59,10.98,24.29
116,32.3,61.6,40.3,2.47,86.56,12.67,25.26
3,62.4,85.6,84.1,1.44,92.7,8.08,33.32
103,50.5,71.3,67.7,0.86,74.1,22.43,15.79
198,45.7,43.5,13.8,1.47,77.9,18.61,16.89
155,51.3,42.0,72.5,1.52,77.47,19.1,17.35
137,42.4,47.4,76.2,1.98,84.77,13.18,21.09
62,54.2,40.8,70.0,1.9,86.82,12.18,24.72
165,26.9,44.1,74.0,1.31,90.22,9.06,26.46
51,47.6,78.0,76.0,0.94,86.12,12.56,24.29
172,31.3,69.4,24.9,1.79,83.14,14.83,20.84
152,29.8,81.2,28.9,1.34,84.28,13.7,21.56
59,38.7,90.2,60.7,0.76,86.91,12.18,24.9
118,28.7,72.2,82.6,2.3,88.14,10.83,25.28
160,28.8,79.9,35.3,1.88,83.73,14.42,22.25
96,37.5,81.6,57.1,1.87,85.49,12.61,22.55
