Days,Temperature,Humidity,Ratio,Compost_Volume,Residual_Rate,CO2_Release,Tensile_Strength
135,39.8,89.6,37.8,1.32,47.49,47.73,17.96
21,48.3,13.3,26.7,1.71,93.22,6.16,21.17
73,22.6,45.5,56.4,1.93,88.2,10.72,17.79
167,19.6,92.2,37.3,0.88,68.44,28.69,18.73
18,64,56.6,53,0.69,90.44,8.7,18.01
132,38.4,46,46.8,1.02,70.69,26.64,18.64
89,24.3,58.3,56.8,0.79,82.02,16.34,17.7
60,64.8,59,42,1.35,74.17,23.48,18.3
14,63.1,72.2,65.8,1.85,89.46,9.58,16.84
9,40.7,20.9,24.4,0.54,94.68,4.84,22
90,58.5,31.3,65.7,0.47,71.37,26.03,16.85
53,20.4,59.3,42.9,0.74,91.48,7.74,20.2
130,25.3,83.7,79.9,1.53,42.63,52.16,12.66
84,48.5,57.8,51.2,1.31,63.94,32.78,17.92
92,56.6,30.3,87.8,0.47,61.55,34.96,13.89
111,57.1,67.8,58.2,1.86,38.53,55.88,15.7
188,32.2,72.9,27.9,1.64,66.76,30.22,19.88
199,58.8,30.3,75.7,0.34,36.2,58,14.66
172,56.8,42.1,37.6,1.41,55.78,40.2,18.92
8,61.5,55.4,37.8,1.61,94.97,4.58,21.32
175,53.2,52.2,12.5,0.94,84.35,14.23,22
35,46.8,43.1,53.9,0.42,89,10,18.33
81,41.9,35.3,52.8,0.43,84.59,14.01,17.66
164,30.5,18.5,38.5,0.48,91.03,8.15,19.92
50,61.7,14.5,81.5,1.73,87.72,11.17,14.76
104,63.6,91.5,20.3,1.85,65.69,31.19,20.29
132,25.6,82,36.4,0.51,74.86,22.85,19.69
2,26.8,40.2,35.7,0.7,93.36,6.03,21.49
134,36.7,91.3,17.4,0.58,81.5,16.82,21.67
54,34.7,67.5,48.5,0.62,81.98,16.39,19.54
106,64.7,51,65,1.72,40.27,54.3,14.14
4,19.7,51.9,50.9,0.86,93.67,5.75,19.39
54,11,17.1,22.6,0.83,97.06,2.68,22
191,37.2,17.8,40.2,0.69,88.8,10.18,19.45
146,19.8,61.2,10.2,1.33,91.48,7.75,22
44,30.2,57.1,79.5,0.94,84.91,13.72,15.41
162,50.9,28.1,16.8,1.57,87.48,11.38,22
190,49.7,90.4,57.8,0.65,35.65,58.5,12.28
14,26.9,76.4,88.9,1.64,91.74,7.51,13.68
95,39.8,19.6,52.9,1.33,87.75,11.14,18.19
48,38,89.1,83.9,0.49,60.31,36.08,13.02
15,45,92.8,28.9,1,93.16,6.22,21.05
190,23.8,94.7,70.8,1.77,36.64,57.6,12.99
40,42.4,14.7,52.5,1.87,96.18,3.47,18.36
82,63.8,72.6,67.6,1.09,38.06,56.31,14.21
111,36.8,56.4,15,1.12,91.79,7.46,22
53,59.8,70,21.8,1.86,85.01,13.62,21.67
24,33.9,92.3,20.6,1.3,93.99,5.46,22
154,29.3,68.5,65,0.36,45.15,49.87,15.37
188,45.5,81.1,77.6,1.85,35.68,58.47,11.73
124,46.8,83.7,70,0.72,35.65,58.5,13.86
41,57.5,81.3,12.4,1.28,92.89,6.47,22
157,22.7,46.2,79.4,0.58,61.49,35.01,15.81
15,37.5,28.9,38.3,0.36,94.17,5.3,20.49
45,41.5,43.7,41.8,0.83,90.57,8.57,20.86
65,52.3,85.8,18.4,1.63,86.91,11.9,22
89,12.4,22.5,69,0.77,92.21,7.08,16.5
71,64.7,53.6,24.6,0.67,85.66,13.03,21.04
9,35.8,29.8,55.1,0.66,93.72,5.71,19.08
88,25.4,59.4,77.3,1.18,71.18,26.2,15.57
129,58.6,83.4,17.1,1.96,70.6,26.72,21.75
136,51.1,84.8,52.8,1.08,35.65,58.5,15.93
63,62.4,30.1,28.7,1.25,91.63,7.61,20.47
139,28.2,87.2,37.4,1.76,64.61,32.17,18.16
81,40.4,60.3,47.9,1.21,74.92,22.8,18.77
136,41.5,39.8,38.4,0.61,79.86,18.31,19.26
163,63.9,70.2,61.9,0.81,35.65,58.5,13.62
163,14.1,50.9,48.4,0.83,85.82,12.89,18.17
33,26.8,42.1,56.7,0.98,92.7,6.64,18.78
123,20.5,69.9,68.9,1.03,67.18,29.83,14.73
5,24.8,31.1,54.6,1.66,95.31,4.26,17.73
41,36.7,38.1,56.9,0.89,90.15,8.96,18.52
28,30.5,46.9,55.2,1.1,92.54,6.78,16.82
135,31.7,31.6,40.3,1.36,87.13,11.7,19.68
72,56.4,44.4,37,0.94,83.1,15.36,19.67
12,61.2,58.6,82,1.72,89.8,9.27,14.47
162,13.9,73,58.6,1.3,76.42,21.44,16.82
33,21.5,75.2,29.5,0.8,92.62,6.71,20.82
48,46.9,79.9,49.9,1.51,74.32,23.35,18.75
151,29.7,73.3,36.4,1.2,66.56,30.4,20.04
62,24,67.9,84.7,1.21,80.25,17.96,13.72
37,26.2,30.2,10.6,1.12,94.49,5.01,22
99,27.7,44,28,1.14,92.6,6.72,20.52
172,56.7,50.6,39.2,1.6,42.25,52.5,18.52
104,17.5,17,49,0.48,90.86,8.31,19.46
35,49,54.9,78.1,0.87,82.57,15.84,14.78
193,40.4,47.1,17,0.43,87.16,11.67,22
101,26.3,78.2,74.5,1.58,56.53,39.52,14.54
175,33.1,93.1,14.5,0.76,80.8,17.45,21.35
131,24.1,57.3,77.4,1.83,62.21,34.35,15.17
1,43.6,37.4,14.1,1.2,95.05,4.5,22
5,14.5,13.7,11.5,1.66,95.19,4.37,22
142,10.3,88.6,65.8,1.96,78.36,19.67,16.15
103,44.5,88.1,89.8,1.73,35.65,58.5,11.84
27,20.7,31.5,81.7,1.77,94.48,5.02,14.76
137,13.9,69.1,56.1,0.99,82.69,15.73,16.47
15,31.8,16.4,83.4,1.24,94.28,5.2,14.49
90,12.8,24.1,10.4,0.73,95.4,4.18,22
42,58.8,28.4,88,0.63,83.88,14.65,14.99
124,11.5,35,49.3,1.16,92,7.27,18.17
179,41.8,94.6,67.8,1.31,35.65,58.5,11.84
63,34.1,69.2,75.7,0.88,68.63,28.51,14.08
96,47,42.7,67.5,1.27,62.44,34.14,14.77
52,28,72.7,52.8,1.81,86.1,12.64,18.63
96,18.5,87.8,48.1,1.25,81.21,17.08,19.09
132,64,91.5,77.1,1.53,35.65,58.5,10.94
151,56.1,14.9,26.4,1.67,91.09,8.1,21.15
143,57.3,43.5,87.4,1.98,35.65,58.5,12.83
171,23.8,19.1,66.9,1.33,87.45,11.41,16.52
29,12.1,38.5,26,1.67,94.94,4.6,22
36,26.7,24.4,68.9,1.94,94.48,5.02,16.31
13,39.5,65,52.4,1.91,93.84,5.6,18.53
160,28,43,66.6,0.54,65.24,31.6,15.08
71,55.5,29.5,71.4,0.99,78.45,19.59,15.91
187,24.9,32.6,17,0.85,90.72,8.43,22
86,63.1,40.6,50.5,0.45,70.09,27.19,17.22
28,35.1,32.1,84.6,1.38,91.48,7.75,14.17
66,56.3,48.5,35.7,1.55,84.42,14.16,20.71
170,20.7,12.7,57.5,1.74,92.76,6.58,18.8
45,32.6,33.8,39.5,0.51,91.8,7.46,19.9
62,48.5,45,46.3,1.79,83.95,14.59,18.73
185,17.6,61.2,53.9,1.39,73.35,24.22,17.53
134,17.3,33,53.9,1.5,89.59,9.47,18.13
28,63.3,21.3,26.1,1.85,94.92,4.61,20.89
28,49.3,16.5,64.8,1.36,93.81,5.63,17.28
108,12.3,89.9,17,0.87,93.39,6.01,21.62
44,31.9,45.4,21.1,1.7,93.58,5.83,21.91
84,33.8,59.4,10.2,0.92,93.42,5.98,22
30,50.9,88.1,19.3,0.36,92.22,7.07,22
190,23.8,17,47.9,1.71,88.86,10.13,18.41
75,20.1,84.5,58.5,0.89,80.91,17.36,16.93
128,14.4,56.9,73.5,1.62,81.54,16.79,15.11
92,33.6,24,18.5,0.92,94.11,5.36,22
190,47.9,45,78.1,1.76,35.65,58.5,12.79
129,13.2,76.1,69.7,0.67,76.36,21.49,16.06
121,60.3,50.8,42.7,1.96,55.13,40.79,17.75
27,34.3,93.7,84.6,1.63,82.09,16.28,14.36
190,23.2,42,89.3,0.49,50.46,45.03,13.14
121,15.2,73.7,26.4,1.26,90.93,8.25,21.45
116,20.1,43.4,40.3,1.98,87.28,11.57,19.52
3,61.4,80.5,84.1,1.1,92.44,6.88,14.88
103,45.1,58.4,67.7,0.61,45.95,49.14,15.42
198,38.4,15.4,13.8,1.12,93.88,5.56,22
155,46.1,13.1,72.5,1.17,83.47,15.03,16.53
137,34,21.4,76.2,1.56,81.69,16.65,14.62
62,50.2,11.2,70,1.49,90.85,8.32,16.12
165,12.6,16.4,74,0.98,92.57,6.75,15.06
51,41.1,68.8,76,0.67,69.72,27.52,15.29
172,18.7,55.4,24.9,1.4,87.92,10.98,21.24
152,16.6,73.7,28.9,1.02,86.8,12,20.93
59,28.8,87.6,60.7,0.52,75.44,22.33,16.44
118,15,59.7,82.6,1.83,77.6,20.37,14.12
160,15.2,71.7,35.3,1.48,84.03,14.52,20.59
96,27.1,74.4,57.1,1.46,70.8,26.54,17.29
